==============================================================================================================
DANH SÁCH ẢNH BỊ DỰ ĐOÁN SAI BỞI CẢ 2 MÔ HÌNH (HybricMamba & Super_Mamba)
Tổng số ảnh trong dataset: 557,487 ảnh
Số lượng ảnh cả 2 mô hình cùng đoán sai: 5,423 ảnh
Tỷ lệ lỗi chung (Both Wrong Rate): 0.97%
==============================================================================================================
[True: 03 | Hybric: 07 ( 88.9%) | Super: 07 ( 84.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001523.jpg
[True: 03 | Hybric: 12 (  7.0%) | Super: 01 (  8.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001576.jpg
[True: 03 | Hybric: 05 ( 41.4%) | Super: 02 ( 32.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001579.jpg
[True: 03 | Hybric: 05 ( 64.0%) | Super: 05 ( 39.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001585.jpg
[True: 03 | Hybric: 05 ( 60.7%) | Super: 05 ( 92.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001587.jpg
[True: 03 | Hybric: 02 (  7.6%) | Super: 02 ( 10.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001588.jpg
[True: 03 | Hybric: 05 ( 84.5%) | Super: 05 ( 77.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001589.jpg
[True: 03 | Hybric: 05 ( 26.0%) | Super: 02 ( 50.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001593.jpg
[True: 03 | Hybric: 12 (  6.9%) | Super: 01 (  7.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001600.jpg
[True: 03 | Hybric: 01 ( 22.4%) | Super: 05 ( 25.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001601.jpg
[True: 03 | Hybric: 04 ( 21.7%) | Super: 05 ( 62.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001613.jpg
[True: 03 | Hybric: 05 ( 53.4%) | Super: 05 ( 45.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001614.jpg
[True: 03 | Hybric: 05 ( 26.8%) | Super: 02 ( 45.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001618.jpg
[True: 03 | Hybric: 15 ( 45.7%) | Super: 05 ( 26.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001619.jpg
[True: 03 | Hybric: 07 ( 26.3%) | Super: 07 ( 46.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001625.jpg
[True: 03 | Hybric: 05 ( 20.8%) | Super: 02 ( 54.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001628.jpg
[True: 03 | Hybric: 07 ( 32.5%) | Super: 05 ( 42.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001634.jpg
[True: 03 | Hybric: 05 ( 29.7%) | Super: 12 ( 39.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001639.jpg
[True: 03 | Hybric: 13 (  8.0%) | Super: 02 ( 32.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001640.jpg
[True: 03 | Hybric: 08 ( 14.5%) | Super: 04 ( 22.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001642.jpg
[True: 03 | Hybric: 05 ( 90.4%) | Super: 05 ( 70.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001643.jpg
[True: 03 | Hybric: 05 ( 16.8%) | Super: 05 ( 25.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001653.jpg
[True: 03 | Hybric: 05 ( 46.0%) | Super: 04 ( 20.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001654.jpg
[True: 03 | Hybric: 05 ( 56.8%) | Super: 05 ( 52.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001658.jpg
[True: 03 | Hybric: 12 (  7.4%) | Super: 01 ( 14.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001662.jpg
[True: 03 | Hybric: 05 ( 32.3%) | Super: 09 ( 42.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001665.jpg
[True: 03 | Hybric: 09 ( 21.0%) | Super: 05 ( 59.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001667.jpg
[True: 03 | Hybric: 05 ( 29.2%) | Super: 09 ( 35.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001668.jpg
[True: 03 | Hybric: 10 (  7.9%) | Super: 01 ( 13.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001671.jpg
[True: 03 | Hybric: 04 ( 36.5%) | Super: 05 ( 30.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001688.jpg
[True: 03 | Hybric: 05 ( 63.6%) | Super: 05 ( 51.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001692.jpg
[True: 03 | Hybric: 02 ( 18.0%) | Super: 02 ( 31.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001694.jpg
[True: 03 | Hybric: 02 (  8.6%) | Super: 02 ( 43.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001697.jpg
[True: 03 | Hybric: 05 ( 33.1%) | Super: 05 ( 34.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001700.jpg
[True: 03 | Hybric: 05 ( 30.5%) | Super: 02 ( 83.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001705.jpg
[True: 03 | Hybric: 05 ( 19.4%) | Super: 05 ( 25.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001717.jpg
[True: 03 | Hybric: 05 ( 15.3%) | Super: 05 ( 31.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001719.jpg
[True: 03 | Hybric: 12 (  8.2%) | Super: 01 ( 16.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001722.jpg
[True: 03 | Hybric: 07 ( 26.8%) | Super: 02 ( 27.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001730.jpg
[True: 03 | Hybric: 15 ( 53.9%) | Super: 02 ( 29.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001731.jpg
[True: 03 | Hybric: 13 ( 24.8%) | Super: 13 ( 47.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001734.jpg
[True: 03 | Hybric: 05 ( 26.9%) | Super: 02 ( 29.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001735.jpg
[True: 03 | Hybric: 05 ( 25.0%) | Super: 02 ( 44.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001741.jpg
[True: 03 | Hybric: 17 ( 56.6%) | Super: 17 ( 23.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001745.jpg
[True: 03 | Hybric: 02 ( 16.1%) | Super: 02 ( 32.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001747.jpg
[True: 03 | Hybric: 07 ( 39.4%) | Super: 02 ( 76.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001749.jpg
[True: 03 | Hybric: 02 (  6.5%) | Super: 01 ( 12.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001751.jpg
[True: 03 | Hybric: 08 ( 41.2%) | Super: 05 ( 76.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001752.jpg
[True: 03 | Hybric: 07 ( 25.6%) | Super: 09 ( 41.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001756.jpg
[True: 03 | Hybric: 05 ( 33.0%) | Super: 35 ( 52.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001759.jpg
[True: 03 | Hybric: 02 (  7.5%) | Super: 01 ( 11.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001760.jpg
[True: 03 | Hybric: 02 (  6.8%) | Super: 01 ( 10.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001765.jpg
[True: 03 | Hybric: 08 ( 60.9%) | Super: 01 ( 20.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001769.jpg
[True: 03 | Hybric: 12 ( 91.3%) | Super: 12 ( 63.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001773.jpg
[True: 03 | Hybric: 07 ( 64.3%) | Super: 07 ( 62.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001778.jpg
[True: 03 | Hybric: 07 ( 16.4%) | Super: 05 ( 28.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001783.jpg
[True: 03 | Hybric: 09 ( 21.4%) | Super: 02 ( 37.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001786.jpg
[True: 03 | Hybric: 01 ( 24.4%) | Super: 05 ( 39.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001790.jpg
[True: 03 | Hybric: 05 ( 24.6%) | Super: 12 ( 26.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001794.jpg
[True: 03 | Hybric: 02 (  7.5%) | Super: 01 ( 22.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001795.jpg
[True: 03 | Hybric: 05 ( 93.9%) | Super: 05 ( 63.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_60_00003_000837.jpg
[True: 03 | Hybric: 09 ( 22.7%) | Super: 02 ( 15.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002262.jpg
[True: 03 | Hybric: 10 ( 12.8%) | Super: 10 ( 14.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002264.jpg
[True: 03 | Hybric: 42 ( 52.6%) | Super: 07 ( 28.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002279.jpg
[True: 03 | Hybric: 05 ( 76.2%) | Super: 05 ( 60.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002288.jpg
[True: 03 | Hybric: 25 ( 11.9%) | Super: 04 ( 13.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002289.jpg
[True: 03 | Hybric: 09 ( 18.4%) | Super: 09 ( 26.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002294.jpg
[True: 03 | Hybric: 22 (  7.9%) | Super: 04 ( 11.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002298.jpg
[True: 03 | Hybric: 01 ( 20.0%) | Super: 38 ( 42.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002304.jpg
[True: 03 | Hybric: 10 ( 23.3%) | Super: 18 ( 33.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002305.jpg
[True: 03 | Hybric: 10 ( 17.5%) | Super: 38 ( 33.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002316.jpg
[True: 03 | Hybric: 35 ( 99.1%) | Super: 09 ( 46.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002318.jpg
[True: 03 | Hybric: 17 ( 14.0%) | Super: 38 ( 17.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002322.jpg
[True: 03 | Hybric: 05 ( 40.6%) | Super: 02 ( 47.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002329.jpg
[True: 03 | Hybric: 07 ( 38.6%) | Super: 10 ( 48.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002330.jpg
[True: 03 | Hybric: 07 ( 64.6%) | Super: 02 ( 55.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002333.jpg
[True: 03 | Hybric: 10 ( 21.7%) | Super: 10 ( 63.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002334.jpg
[True: 03 | Hybric: 10 ( 39.2%) | Super: 38 ( 12.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002340.jpg
[True: 03 | Hybric: 10 ( 45.8%) | Super: 13 ( 34.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002343.jpg
[True: 03 | Hybric: 10 ( 28.9%) | Super: 25 ( 19.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002344.jpg
[True: 03 | Hybric: 10 ( 36.1%) | Super: 18 ( 16.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002345.jpg
[True: 03 | Hybric: 07 ( 64.6%) | Super: 10 ( 88.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002351.jpg
[True: 03 | Hybric: 02 ( 54.6%) | Super: 14 ( 74.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002358.jpg
[True: 03 | Hybric: 10 ( 30.7%) | Super: 10 ( 15.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002362.jpg
[True: 03 | Hybric: 07 ( 38.3%) | Super: 02 ( 26.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002364.jpg
[True: 03 | Hybric: 10 ( 21.6%) | Super: 02 ( 24.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002376.jpg
[True: 03 | Hybric: 02 (  9.8%) | Super: 38 ( 49.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002378.jpg
[True: 03 | Hybric: 09 ( 17.0%) | Super: 12 ( 31.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002379.jpg
[True: 03 | Hybric: 05 ( 80.0%) | Super: 05 ( 75.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002398.jpg
[True: 03 | Hybric: 11 (  7.3%) | Super: 29 ( 22.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002402.jpg
[True: 03 | Hybric: 10 ( 32.0%) | Super: 25 ( 21.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002403.jpg
[True: 03 | Hybric: 10 ( 18.6%) | Super: 04 ( 17.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002404.jpg
[True: 03 | Hybric: 10 ( 26.9%) | Super: 10 ( 22.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002407.jpg
[True: 03 | Hybric: 10 ( 72.3%) | Super: 10 ( 98.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002413.jpg
[True: 03 | Hybric: 42 ( 49.5%) | Super: 10 ( 24.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002418.jpg
[True: 03 | Hybric: 10 ( 14.8%) | Super: 10 ( 17.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002428.jpg
[True: 03 | Hybric: 18 ( 15.1%) | Super: 18 ( 21.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002429.jpg
[True: 03 | Hybric: 09 ( 15.3%) | Super: 02 ( 12.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002437.jpg
[True: 03 | Hybric: 10 ( 17.0%) | Super: 02 ( 12.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002438.jpg
[True: 03 | Hybric: 02 ( 10.4%) | Super: 04 ( 11.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002439.jpg
[True: 03 | Hybric: 10 ( 40.5%) | Super: 10 ( 47.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002448.jpg
[True: 03 | Hybric: 35 ( 74.1%) | Super: 35 ( 45.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002451.jpg
[True: 03 | Hybric: 14 (  8.4%) | Super: 04 ( 13.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002453.jpg
[True: 03 | Hybric: 10 ( 19.0%) | Super: 04 ( 20.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002454.jpg
[True: 03 | Hybric: 38 ( 67.0%) | Super: 38 ( 49.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002455.jpg
[True: 03 | Hybric: 10 ( 15.0%) | Super: 04 ( 10.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002470.jpg
[True: 03 | Hybric: 10 ( 12.3%) | Super: 25 ( 16.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002479.jpg
[True: 03 | Hybric: 38 (  8.8%) | Super: 13 ( 11.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002491.jpg
[True: 03 | Hybric: 31 ( 27.6%) | Super: 13 ( 13.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002509.jpg
[True: 03 | Hybric: 10 ( 32.9%) | Super: 13 ( 10.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002512.jpg
[True: 03 | Hybric: 01 ( 44.3%) | Super: 04 ( 79.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002517.jpg
[True: 03 | Hybric: 09 (  9.8%) | Super: 10 (  8.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_d120_00003_002520.jpg
